Brunnen,2007,2008,2009,2010,2011,2012,2013,2014,2015,x,y
W 5001,0,0,0,0,0,0,0,0,0,,
W 5002,0,0,0,0,0,0,0,0,0,,
W 5003,0,0,0,0,0,0,0,0,0,,
W 5004,0,0,0,0,0,0,0,0,0,,
W 5035,0,0,0,0,0,0,0,0,0,,
W 5036,0.055763385,0.034998822,0.030389952,0.025510558,0.015995627,0.028601901,0,0,0,2531917.26,5657005.3
W 5037,0.087423726,0.1707549,0.134433377,0.125558424,0.086695062,0.066735182,0.04855395,0.041424808,0.030944649,2531851.14,5656901.81
W 5044,0,0,0,0,0,0,0,0,0,,
W 5046,0,0,0,0,0,0,0,0,0,,
W 5049,0,0,0,0,0,0,0,0,0,,
W 5055,0,0,0,0,0,0,0,0,0,,
W 5056,0,0,0,0,0,0,0,0,0,,
W 5057,0,0,0,0,0,0,0,0,0,,
W 5058,0,0,0,0,0,0,0,0,0,,
W 5059,0,0,0,0,0,0,0,0,0,,
W 5060,0,0,0,0,0,0,0,0,0,,
W 5061,0,0,0,0,0,0,0,0,0,,
W 5062,0,0,0,0,0,0,0,0,0,,
W 5063,0,0,0,0,0,0,0,0,0,,
W 5065,0,0,0,0,0,0,0,0,0,,
W 5066,0,0,0,0,0,0,0,0,0,,
W 5083,0,0,0,0,0,0,0,0,0,,
W 5084,0,0,0,0,0,0,0,0,0,,
W 5085,0,0,0,0,0,0,0,0,0,,
W 5088,0,0,0,0,0,0,0,0,0,,
W 5090,0,0,0,0,0,0,0,0,0,,
W 5094,0.179176571,0.07498834,0.043286494,0.025278338,0.020732644,0,0,0,0,2531960.18,5661167.44
W 5095,0,0,0,0,0,0,0,0,0,,
W 5098,0,0,0,0,0,0,0,0,0,,
W 5099,0,0,0,0,0,0,0,0,0,,
W 5100,0,0,0,0,0,0,0,0,0,,
W 5109,0,0,0,0,0,0,0,0,0,,
W 5110,0,0,0,0,0,0,0,0,0,,
W 5111,0,0,0,0,0,0,0,0,0,,
W 5112,0,0,0,0,0,0,0,0,0,,
W 5113,0,0,0,0,0,0,0,0,0,,
W 5115,0,0,0,0,0,0,0,0,0,,
W 5116,0,0,0,0,0,0,0,0,0,,
W 5128,0,0,0,0,0,0,0,0,0,,
W 5132,0,0,0,0,0,0,0,0,0,,
W 5134,0,0,0,0,0,0,0,0,0,,
W 5135,0,0,0,0,0,0,0,0,0,,
W 5136,0.118180098,0.085558027,0.067796545,0.034955614,0.026235275,0.027051676,0.018731557,0,0,2531589.08,5659616.89
W 5138,0,0,0,0,0,0,0,0,0,,
W 5140,0.212367741,0.199232659,0.096822034,0,0.024879344,0.021764662,0,0,0,2531677.62,5659338.61
W 5142,0,0,0,0,0,0,0,0,0,,
W 5143,0,0,0,0,0,0,0,0,0,,
W 5144,0,0,0,0,0,0,0,0,0,,
W 5323,0,0,0,0,0,0,0,0,0,,
W 5324,0,0,0,0,0,0,0,0,0,,
W 5325,0,0,0,0,0,0,0,0,0,,
W 5326,0,0,0,0,0,0,0,0,0,,
W 5327,0,0,0,0,0,0,0,0,0,,
W 5329,0,0,0,0,0,0,0,0,0,,
W 5330,0,0,0,0,0,0,0,0,0,,
W 5331,0,0,0,0,0,0,0,0,0,,
W 5335,0,0,0,0,0,0,0,0,0,,
W 5349,0,0,0,0,0,0,0,0,0,,
W 5354,0,0,0.07633947,0.073664248,0.027062786,0.024625426,0.025375767,0.020892177,0.01535308,2532003.01,5657320.72
W 5355,0,0.12123234,0.140622792,0.073730115,0.029415668,0.026865959,0.010101572,0,0,2531961.69,5657450.8
W 5356,0,0,0,0.084401843,0.041319083,0.024723134,0.015081683,0,0,2531915.33,5657584.09
W 5357,0,0,0,0,0,0,0,0,0,,
W 5358,0,0,0,0,0,0,0,0,0,,
W 5359,0,0,0,0,0,0,0,0,0,,
W 5362,0,0,0,0,0,0,0,0,0,,
W 5367,0,0,0,0,0,0,0,0,0,,
W 5368,0,0,0,0,0,0,0,0,0,,
W 5369,0,0,0,0,0,0,0,0,0,,
W 5370,0,0,0,0,0,0,0,0,0,,
W 5371,0,0,0,0,0,0,0,0,0,,
W 5372,0,0,0,0,0,0,0,0,0,,
W 5373,0,0,0,0,0,0,0,0,0,,
W 5374,0,0,0,0,0,0,0,0,0,,
W 5376,0,0,0,0,0,0,0,0,0,,
W 5377,0,0,0,0,0,0,0,0,0,,
W 5378,0,0,0,0,0,0,0,0,0,,
W 5379,0,0,0,0,0,0,0,0,0,,
W 5380,0,0,0,0,0,0,0,0,0,,
W 5381,0,0,0,0,0,0,0,0,0,,
W 5382,0,0,0,0,0,0,0,0,0,,
W 5383,0,0,0,0,0,0,0,0,0,,
W 5384,0,0,0,0,0,0,0,0,0,,
W 5389,0,0,0,0,0,0,0,0,0,,
W 5390,0,0,0,0,0,0,0,0,0,,
W 5391,0,0,0,0,0,0,0,0,0,,
W 5392,0,0,0,0,0,0,0,0,0,,
W 5393,0,0,0,0,0,0,0,0,0,,
W 5394,0,0,0,0,0,0,0,0,0,,
W 5395,0,0,0,0,0,0,0,0,0,,
W 5397,0,0,0,0,0,0,0,0,0,,
W 5399,0,0,0,0,0,0,0,0,0,,
W 5400,0,0,0,0,0,0,0,0,0,,
W 5401,0,0,0,0,0,0,0,0,0,,
W 5402,0,0,0,0,0,0,0,0,0,,
W 5403,0,0,0,0,0,0,0,0,0,,
W 5404,0,0,0,0,0,0,0,0,0,,
W 5405,0,0,0,0,0,0,0,0,0,,
W 5406,0,0,0,0,0,0,0,0,0,,
W 5407,0,0,0,0,0,0,0,0,0,,
W 5408,0,0,0,0,0,0,0,0,0,,
W 5409,0,0,0,0,0,0,0,0,0,,
W 5410,0,0,0,0,0,0,0,0,0,,
W 5411,0,0,0,0,0,0,0,0,0,,
W 5413,0,0,0,0,0,0,0,0,0,,
W 5414,0,0,0,0,0,0,0,0,0,,
W 5415,0,0,0,0,0,0,0,0,0,,
W 5416,0,0,0,0,0,0,0,0,0,,
W 5418,0,0,0,0,0,0,0,0,0,,
W 5419,0,0,0,0,0,0,0,0,0,,
W 5421,0,0,0,0,0,0,0,0,0,,
W 5423,0,0,0,0,0,0,0,0,0,,
W 5424,0,0,0,0,0,0,0,0,0,,
W 5425,0,0,0,0,0,0,0,0,0,,
W 5426,0,0,0,0,0.1045576,0.095051934,0.053645979,0.067269541,0.046615314,2531840.03,5657234.75
W 5427,0,0,0.075997397,0.069383138,0,0.017529713,0.017008792,0.01794632,0,2531910.05,5657127.81
W 5429,0,0,0,0,0.086411921,0.047884307,0.040607941,0.030735032,0,2531870.6,5657344.24
W 5430,0,0.203082501,0,0.142774959,0.036669506,0.036367423,0.016238823,0,0,2531822.92,5657446.82
W 5431,0,0,0,0,0,0.121542352,0.096476942,0.069749526,0.048594113,2531768.19,5657572.1
W 5432,0,0,0,0,0.085969936,0.045716114,0.02610697,0.023976697,0,2531729.02,5657673.02
W 5433,0,0,0.29940264,0.237704281,0.208126933,0.125032814,0.073360194,0.057176525,0.03800922,2531588.21,5657628.54
W 5435,0,0,0,0.171647482,0.071305776,0.03789821,0.035185093,0.027533022,0.018559661,2531528.05,5657727.81
W 5436,0,0,0.266902372,0.139779911,0.117272133,0,0.053069643,0.035837139,0.029449111,2531565.96,5657903.17
W 5437,0,0,0,0,0,0,0,0,0,,
W 5438,0,0,0,0,0,0,0,0,0,,
W 5439,0,0,0,0,0,0,0,0,0,,
W 5440,0,0,0,0,0,0,0,0,0,,
W 5441,0,0,0,0,0,0,0,0,0,,
W 5442,0,0,0,0,0,0,0,0,0,,
W 5443,0,0,0,0,0,0,0,0,0,,
W 5444,0,0,0,0,0,0,0,0,0,,
W 5445,0,0,0,0,0,0,0,0,0,,
W 5446,0,0,0,0,0,0,0,0,0,,
W 5447,0,0,0,0,0,0,0,0,0,,
W 5451,0,0,0,0,0,0,0,0,0,,
W 5452,0,0,0,0,0,0,0,0,0,,
W 5453,0,0,0,0,0,0,0,0,0,,
W 5454,0,0,0,0,0,0,0,0,0,,
W 5455,0,0,0,0,0,0,0,0,0,,
W 5457,0,0,0,0,0,0,0,0,0,,
W 5465,0,0,0,0,0,0,0,0,0,,
W 5466,0,0,0,0,0,0,0,0,0,,
W 5468,0,0,0,0,0,0,0,0,0,,
W 5470,0,0,0,0,0,0,0,0,0,,
W 5471,0,0,0,0,0,0,0,0,0,,
W 5472,0,0,0,0,0,0,0,0,0,,
W 5473,0,0,0,0,0,0,0,0,0,,
W 5474,0,0,0,0,0,0,0,0,0,,
W 5476,0,0,0,0,0,0,0,0,0,,
W 5477,0,0,0,0,0,0,0,0,0,,
W 5478,0,0,0,0,0,0,0,0,0,,
W 5479,0,0,0,0,0,0,0,0,0,,
W 5480,0,0,0,0,0,0,0,0,0,,
W 5481,0,0,0,0,0,0,0,0,0,,
W 5482,0,0,0,0,0,0,0,0,0,,
W 5483,0,0,0,0,0,0,0,0,0,,
W 5484,0,0,0,0,0,0,0,0,0,,
W 5485,0,0,0,0,0,0,0,0,0,,
W 5486,0,0,0,0,0,0,0,0,0,,
W 5487,0,0,0,0,0,0,0,0,0,,
W 5489,0,0,0,0,0,0,0,0,0,,
W 5491,0,0,0,0,0,0,0,0,0,,
W 5493,0,0,0,0,0,0,0,0,0,,
W 5495,0,0,0,0,0,0,0,0,0,,
W 5498,0,0,0,0,0,0,0,0,0,,
W 5499,0,0,0,0,0,0,0,0,0,,
W 5502,0,0,0,0,0,0,0,0,0,,
W 5503,0,0,0,0,0,0,0,0,0,,
W 5504,0,0,0,0,0,0,0,0,0,,
W 5510,0,0,0,0,0,0,0,0,0,,
W 5512,0,0,0,0,0,0,0,0,0,,
W 5513,0,0,0,0,0,0,0,0,0,,
W 5515,0,0,0,0,0,0,0,0,0,,
W 5516,0,0,0,0,0,0,0,0,0,,
W 5518,0,0,0,0,0,0,0,0,0,,
W 5525,0,0,0,0,0,0,0,0,0,,
W 5526,0,0,0,0,0,0,0,0,0,,
W 5539,0,0,0,0,0,0,0,0,0,,
W 5540,0,0,0,0,0,0.159792061,0.044407083,0.030221689,0.019482236,2530491.62,5661924.45
W 5541,0,0,0,0,0,0,0,0.045563784,0.034376227,2530388.74,5661897.77
W 5542,0,0,0,0,0,0,0.186653994,0.077605588,0.047151932,2530307.31,5661881.63
W 5543,0,0,0,0,0,0,0.00284579,0.002191781,0,2530217.11,5661882.57
W 5544,0,0,0,0,0,0,0.138361124,0.117913659,0.071257983,2530248.97,5661720.12
W 5545,0,0,0,0,0,0,0.225085462,0.134700369,0.066661702,2530294.19,5661493.17
W 5546,0,0,0,0,0,0,0,0.030785131,0.018961135,2530356.45,5661228.12
W 5547,0,0,0,0,0,0,0.276651034,0.09371643,0.03933777,2530510.05,5661024.88
W 5548,0,0,0,0,0,0,0.080367738,0.049700776,0.025441121,2530692.31,5660892.82
W 5553,0,0,0,0,0,0,0,0,0,,
W 5557,0,0,0,0,0,0,0,0,0,,
